X,y
"(Mo2S6,16);(MoS2,4);(Mo2S6,11)","(Mo2S5,51);(MoS4,61)"
"(MoOS2,383);(MoOS4,4);(MoS3,84)","(MoS5,280);(MoS4,65)"
"(MoS4,21);(MoOS5,1);(MoOS3,114)","(MoOS5,3);(MoS4,65)"
"(Mo,98);(MoS2,414);(MoS4,5)","(MoS2,259);(MoS4,68)"
"(MoS3,93);(MoS5,553);(Mo2S6,29)","(MoS5,4);(MoS4,67)"
"(MoOS3,22);(MoS2,3);(MoOS3,5)","(MoS2,151);(MoS4,68)"
"(Mo2S7,74);(Mo2S9,12);(MoS4,415)","(MoOS5,38);(MoS4,61)"
"(MoO3,2);(MoO2,162);(MoOS,298)","(MoOS3,91);(MoS4,68)"
"(MoS2,17);(Mo,1);(MoS,1)","(MoS2,87);(MoS4,63)"
"(MoOS2,1);(MoS,42);(MoS3,12)","(MoS2,1);(MoS4,69)"
"(MoS3,82);(MoOS4,4);(MoS3,128)","(MoS5,15);(MoS4,65)"
"(MoOS3,7);(MoS2,111);(MoOS3,2)","(MoS2,16);(MoS4,60)"
"(MoOS2,167);(MoOS4,2);(MoS3,8)","(MoOS5,10);(MoS4,64)"
"(MoS5,3);(MoS3,458);(Mo2S7,75)","(Mo2S9,1);(MoS4,64)"
"(MoS4,381);(MoOS5,34);(MoS4,2)","(MoOS5,124);(MoS4,63)"
"(MoS3,1);(MoS,21);(MoS3,5)","(MoS2,21);(MoS4,65)"
"(MoOS5,2);(MoS4,2);(MoOS5,72)","(MoS2,1);(MoS4,65)"
"(MoOS3,13);(MoS2,259);(MoS4,52)","(Mo2S9,9);(MoS4,59)"
"(MoOS2,3);(MoS2,74);(Mo2S5,52)","(MoS5,138);(MoS4,74)"
"(Mo,113);(MoS2,85);(MoS4,4)","(MoS2,96);(MoS4,85)"
"(MoS3,95);(Mo2S8,4);(Mo2S6,47)","(Mo2S8,8);(MoS4,81)"
"(MoOS4,1);(MoS3,161);(MoOS3,1)","(MoS2,131);(MoS4,78)"
"(Mo,56);(MoS2,189);(MoS3,1)","(MoS5,3);(MoS4,78)"
"(MoS,105);(MoS3,99);(MoS2,9)","(Mo2S8,24);(MoS4,85)"
"(MoS4,4);(MoOS5,36);(MoS4,4)","(MoOS5,2);(MoS4,78)"
"(MoS4,2);(MoOS5,11);(MoS4,5)","(MoOS5,80);(MoS4,84)"
"(MoS2,1);(MoS,15);(Mo,45)","(MoS2,157);(MoS4,75)"
"(MoOS3,152);(MoS2,2);(MoOS3,7)","(MoOS5,22);(MoS4,77)"
"(MoS4,50);(MoOS5,16);(MoOS3,857)","(MoOS5,16);(MoS4,72)"
"(Mo,143);(MoOS,2);(Mo,107)","(Mo2S6,8);(MoS4,80)"
"(MoOS2,14);(MoS,2);(MoOS2,5)","(MoS3,46);(MoS4,75)"
"(MoS2,98);(MoS4,97);(Mo2S10,5)","(Mo2S8,22);(MoS4,73)"
"(Mo2S8,639);(Mo2S10,452);(MoS5,5)","(Mo2S10,8);(MoS4,74)"
"(MoS4,6);(MoS2,39);(MoOS3,8)","(MoS2,9);(MoS4,85)"
"(MoS4,137);(MoOS5,4);(MoS4,2)","(MoOS5,17);(MoS4,79)"
"(MoOS3,5);(MoS2,5);(MoOS3,3)","(MoS2,123);(MoS4,78)"
"(MoS,1);(MoS2,198);(MoS4,4)","(MoS2,210);(MoS4,84)"
"(Mo2S7,47);(MoS5,5);(Mo2S7,5)","(Mo2S9,3);(MoS4,81)"
"(Mo2S7,21);(MoS4,31);(MoS5,32)","(Mo2S7,69);(MoS4,91)"
"(MoOS2,47);(MoOS4,2);(MoS3,118)","(MoS2,32);(MoS4,96)"
"(MoS4,198);(MoOS5,61);(MoS4,13)","(MoOS5,27);(MoS4,90)"
"(MoOS2,10);(MoOS4,3);(MoOS2,94)","(MoS3,30);(MoS4,86)"
"(MoS,2);(MoS2,86);(MoS4,5)","(MoS2,82);(MoS4,94)"
"(MoO,105);(MoOS2,14);(MoS,23)","(MoS2,95);(MoS4,97)"
"(MoS4,339);(MoOS5,2);(MoS4,2)","(MoOS5,4);(MoS4,87)"
"(Mo2S7,91);(Mo2S8,45);(Mo2S7,334)","(Mo2S8,8);(MoS4,88)"
"(MoOS4,2);(MoOS,28);(MoOS3,1)","(MoS2,114);(MoS4,93)"
"(MoS2,2);(MoS,3);(MoS3,9)","(MoS2,69);(MoS4,94)"
"(MoOS3,3);(MoS3,8);(MoOS3,32)","(MoOS5,12);(MoS4,91)"
"(MoOS3,20);(MoS2,20);(MoOS3,16)","(MoS2,47);(MoS4,94)"
"(Mo2S9,109);(Mo2S8,17);(Mo2S7,11)","(Mo2S8,127);(MoS4,99)"
"(MoS3,23);(MoS5,411);(MoOS6,3)","(MoS5,10);(MoS4,97)"
"(MoOS3,108);(MoS4,31);(MoOS3,104)","(MoOS5,1);(MoS4,100)"
"(MoOS5,2);(MoS4,1);(MoOS3,1)","(MoOS5,1);(MoS4,101)"
"(MoOS3,7);(MoS2,742);(MoS4,473)","(MoOS5,6);(MoS4,104)"
"(MoS3,14);(MoOS2,10);(MoS2,51)","(MoS3,13);(MoS4,94)"
"(MoOS2,1);(MoOS,210);(MoOS3,9)","(MoS2,56);(MoS4,95)"
"(MoOS4,1);(MoS3,72);(MoS5,2)","(MoS3,55);(MoS4,94)"
"(MoS3,149);(MoS2,8);(MoS4,2)","(MoS2,85);(MoS4,124)"
"(MoS4,447);(MoOS5,29);(MoS4,205)","(MoOS5,48);(MoS4,114)"
"(Mo2S6,136);(MoS4,5);(MoS2,25)","(Mo2S6,4);(MoS4,116)"
"(MoOS3,20);(MoS2,3);(MoOS3,132)","(MoOS5,9);(MoS4,108)"
"(Mo2S6,68);(MoS,2);(MoS5,26)","(Mo2S8,8);(MoS4,126)"
"(MoS3,3);(MoS5,31);(MoS3,96)","(MoS2,12);(MoS4,111)"
"(MoS3,2);(MoS2,11);(MoS4,28)","(MoS2,2);(MoS4,122)"
"(MoS3,33);(MoS5,160);(Mo2S6,3)","(Mo2S5,1);(MoS4,108)"
"(MoS2,67);(MoOS3,16);(MoOS5,6)","(MoOS3,37);(MoS4,105)"
"(MoS3,25);(MoS5,2);(MoS4,297)","(MoOS5,31);(MoS4,107)"
"(MoS4,1);(MoS3,174);(MoS4,8)","(MoS2,47);(MoS4,117)"
"(MoOS3,7);(MoS2,3);(MoOS3,5)","(MoS2,131);(MoS4,111)"
"(MoOS2,6);(MoS,10);(MoS3,6)","(MoS2,1);(MoS4,115)"
"(MoOS4,1);(MoS3,66);(MoS5,194)","(MoS3,1);(MoS4,115)"
"(MoOS3,1);(MoS2,41);(MoS4,6)","(MoS2,83);(MoS4,107)"
"(MoS3,3);(MoOS4,10);(MoS3,186)","(MoS2,145);(MoS4,107)"
"(MoOS2,21);(MoOS4,4);(MoS3,38)","(MoS5,1);(MoS4,105)"
"(MoS3,46);(Mo2S9,5);(MoO2S5,5)","(Mo2S8,86);(MoS4,111)"
"(MoO,46);(MoOS,16);(MoOS3,9)","(MoS2,53);(MoS4,108)"
"(MoS2,118);(MoOS3,8);(MoS2,2)","(MoOS3,4);(MoS4,127)"
"(MoOS,1);(Mo2S6,15);(MoOS4,3)","(MoOS5,2);(MoS4,147)"
"(MoOS3,35);(MoS2,2);(MoOS3,113)","(MoOS5,1);(MoS4,136)"
"(MoS,15);(MoOS,1);(MoO,54)","(MoS2,67);(MoS4,138)"
"(Mo2S6,173);(MoS3,78);(MoS2,60)","(Mo2S7,3);(MoS4,129)"
"(MoOS2,4);(MoS,167);(MoS3,47)","(MoS2,17);(MoS4,134)"
"(MoO,11);(MoOS,139);(MoOS3,4)","(MoS2,170);(MoS4,131)"
"(MoOS,45);(MoS2,25);(MoS4,11)","(MoS2,3);(MoS4,152)"
"(MoS3,33);(MoOS4,49);(MoOS6,5)","(MoS5,172);(MoS4,134)"
"(Mo2S7,32);(MoOS3,7);(Mo2S7,286)","(Mo2S6,216);(MoS4,140)"
"(MoS,1);(MoOS5,1);(MoOS3,75)","(MoOS5,1);(MoS4,143)"
"(MoS,1);(MoOS2,5);(MoS,297)","(MoS3,203);(MoS4,135)"
"(MoS3,23);(MoOS4,2);(MoOS3,75)","(MoOS5,5);(MoS4,136)"
"(Mo2S10,26);(Mo2S8,111);(MoS4,114)","(MoOS5,71);(MoS4,137)"
"(MoS4,23);(Mo2S8,3);(MoS4,125)","(MoOS5,2);(MoS4,152)"
"(MoOS2,46);(MoS,90);(MoS2,74)","(MoS3,76);(MoS4,147)"
"(Mo2S8,6);(Mo2S6,1);(MoS3,236)","(Mo2S7,144);(MoS4,129)"
"(MoS3,1);(MoS2,35);(MoS4,2)","(MoS2,63);(MoS4,132)"
"(Mo2S8,12);(Mo2S9,18);(MoS3,2)","(Mo2S9,16);(MoS4,153)"
"(MoS2,118);(MoS4,2);(MoS2,122)","(Mo2S5,12);(MoS4,146)"
"(MoOS3,2);(MoS2,46);(MoOS2,1)","(MoS3,20);(MoS4,134)"
"(MoO2S2,1);(MoOS,84);(MoOS3,17)","(MoS2,124);(MoS4,170)"
"(MoOS3,1);(MoS2,45);(MoO2S2,4)","(MoS2,35);(MoS4,171)"
"(MoOS3,4);(MoS2,47);(MoS4,8)","(MoS2,47);(MoS4,176)"
"(Mo2S8,12);(Mo2S6,116);(MoOS4,7)","(Mo2S6,52);(MoS4,158)"
"(MoOS4,1);(MoS3,96);(MoOS4,1)","(MoS5,4);(MoS4,176)"
"(MoS3,119);(MoS2,108);(MoOS3,2)","(MoS2,72);(MoS4,160)"
"(MoOS,5);(Mo,3);(MoOS,28)","(MoS2,159);(MoS4,174)"
"(MoOS3,50);(MoS2,91);(MoS4,34)","(MoS2,245);(MoS4,162)"
"(MoS3,72);(MoS5,60);(MoS4,132)","(MoOS5,9);(MoS4,158)"
"(Mo2S10,1);(Mo2S8,14);(MoS4,59)","(MoOS5,2);(MoS4,169)"
"(MoOS4,6);(MoS3,53);(MoS5,7)","(MoS3,40);(MoS4,186)"
"(MoS3,30);(Mo2S8,13);(Mo2S6,137)","(Mo2S7,17);(MoS4,170)"
"(MoOS,3);(MoOS2,13);(MoS4,189)","(MoO2S4,5);(MoS4,181)"
"(MoOS2,31);(MoS,2);(MoS3,17)","(MoS5,1);(MoS4,177)"
"(MoS5,65);(MoOS3,137);(MoOS4,29)","(Mo2S5,107);(MoS4,171)"
"(MoS2,80);(MoOS,11);(MoOS3,204)","(MoOS5,21);(MoS4,158)"
"(MoS5,8);(MoS3,32);(MoS5,2)","(MoS3,83);(MoS4,172)"
"(MoS4,693);(MoOS5,29);(MoS4,4)","(MoOS5,25);(MoS4,161)"
"(MoS5,4);(MoS3,23);(MoS5,62)","(MoOS5,1);(MoS4,183)"
"(MoS2,17);(MoS3,319);(MoS5,391)","(Mo2S10,4);(MoS4,178)"
"(MoOS2,1);(MoS2,124);(MoS4,2)","(MoS2,40);(MoS4,225)"
"(MoS4,1);(MoS2,32);(MoS4,5)","(MoS2,77);(MoS4,211)"
"(MoS3,3);(MoOS4,32);(MoS3,237)","(MoS5,35);(MoS4,203)"
"(MoOS4,2);(MoS3,2);(MoOS4,3)","(MoOS5,2);(MoS4,190)"
"(MoS4,3);(MoS2,47);(MoOS3,11)","(MoS2,49);(MoS4,225)"
"(MoS,104);(MoS3,244);(MoS4,8)","(MoS2,40);(MoS4,207)"
"(MoOS3,97);(MoOS4,1);(MoS3,22)","(MoS5,3);(MoS4,213)"
"(MoS4,6);(MoS2,23);(MoS4,236)","(MoOS5,8);(MoS4,192)"
"(MoO2,536);(MoOS,7);(MoOS3,6)","(MoS2,14);(MoS4,209)"
"(MoOS3,9);(MoS2,45);(MoS4,287)","(MoS5,3);(MoS4,200)"
"(MoS,522);(MoS2,32);(MoOS3,37)","(MoS2,39);(MoS4,218)"
"(MoS,1);(MoOS,177);(MoOS3,3)","(MoS2,29);(MoS4,209)"
"(MoS4,18);(MoOS5,9);(MoS4,2)","(MoOS5,3);(MoS4,209)"
"(MoOS3,159);(MoS2,2);(MoOS3,76)","(MoOS5,11);(MoS4,210)"
"(MoS3,507);(MoOS4,11);(MoOS3,6)","(MoS2,98);(MoS4,222)"
"(MoS3,2);(MoS,24);(Mo2S6,2)","(MoS2,3);(MoS4,224)"
"(MoS3,17);(MoS,277);(MoS3,13)","(MoS2,135);(MoS4,200)"
"(MoO,19);(MoOS2,4);(MoS,5)","(MoS3,27);(MoS4,226)"
"(MoS,60);(MoS3,31);(MoS4,1)","(MoS2,129);(MoS4,209)"
"(MoOS3,5);(MoS2,40);(MoS4,16)","(MoS2,135);(MoS4,205)"
"(MoOS2,12);(MoOS4,9);(MoS3,184)","(MoS2,14);(MoS4,237)"
"(MoS5,1);(MoS4,14);(MoS3,7)","(Mo2S6,12);(MoS4,245)"
"(MoS2,1);(MoOS3,6);(MoS3,1)","(MoS2,17);(MoS4,257)"
"(MoO,245);(MoOS,261);(MoOS3,2)","(MoS2,1);(MoS4,242)"
"(MoOS2,13);(MoS,74);(MoS3,65)","(MoS2,1);(MoS4,270)"
"(MoS2,308);(Mo2S6,15);(MoS4,66)","(MoOS5,22);(MoS4,236)"
"(Mo2S8,12);(MoS3,1);(MoS5,1)","(Mo2S8,5);(MoS4,240)"
"(MoS5,114);(Mo2S8,40);(MoOS3,124)","(MoOS5,18);(MoS4,248)"
"(MoOS2,5);(MoS2,36);(MoS4,46)","(MoS2,140);(MoS4,238)"
"(Mo2S5,32);(Mo2S7,1);(MoS4,50)","(MoS2,4);(MoS4,277)"
"(MoS4,1);(MoS2,20);(MoS4,4)","(MoS2,41);(MoS4,271)"
"(MoS3,18);(MoOS5,1);(MoS4,6)","(MoS2,23);(MoS4,236)"
"(MoO2S2,4);(MoOS,351);(MoOS3,15)","(MoS2,132);(MoS4,269)"
"(MoS3,191);(MoS5,2);(MoS3,14)","(MoS2,162);(MoS4,231)"
"(MoS4,27);(MoS2,45);(MoS4,445)","(MoOS5,24);(MoS4,231)"
"(MoS3,2);(MoOS4,4);(MoS3,50)","(MoS5,24);(MoS4,266)"
"(MoS2,69);(MoS4,24);(MoS2,48)","(Mo2S6,36);(MoS4,238)"
"(MoS3,2);(MoOS4,4);(MoS3,14)","(MoS5,1);(MoS4,233)"
"(MoS4,19);(MoS2,26);(MoS4,23)","(MoOS5,2);(MoS4,255)"
"(MoS4,2);(MoOS5,103);(MoS4,2)","(MoOS5,89);(MoS4,272)"
"(MoS2,29);(MoS4,155);(Mo2S6,111)","(Mo2S8,5);(MoS4,325)"
"(MoO2S2,2);(MoOS,14);(MoOS3,3)","(MoS2,58);(MoS4,302)"
"(MoS3,51);(MoS5,7);(MoS3,2)","(Mo2S8,8);(MoS4,315)"
"(MoO2S3,6);(MoOS2,168);(MoOS3,201)","(MoOS5,29);(MoS4,287)"
"(MoS2,5);(MoS,10);(MoS4,271)","(MoOS5,2);(MoS4,295)"
"(MoS,6);(MoS2,169);(MoS4,25)","(MoS2,2);(MoS4,297)"
"(MoS5,65);(Mo2S7,125);(MoS4,11)","(MoO2S4,2);(MoS4,282)"
"(MoS3,1);(MoS2,110);(MoS4,376)","(Mo2S10,4);(MoS4,297)"
"(MoO2S4,3);(MoS4,1);(MoOS3,144)","(MoOS5,2);(MoS4,284)"
"(MoS4,2);(MoOS5,5);(MoS4,161)","(MoOS5,2);(MoS4,280)"
"(MoO,150);(MoS2,200);(MoS4,4)","(MoS2,12);(MoS4,326)"
"(MoOS3,5);(MoS2,67);(MoOS3,2)","(MoS2,58);(MoS4,331)"
"(MoO2,169);(MoO2S2,3);(MoOS,60)","(MoS2,516);(MoS4,314)"
"(MoOS,1);(MoOS4,2);(MoS3,27)","(MoS5,1);(MoS4,321)"
"(MoS2,6);(Mo2S6,30);(Mo2S8,18)","(MoS5,49);(MoS4,301)"
"(MoOS,1);(MoS2,1);(MoOS3,6)","(MoS2,38);(MoS4,284)"
"(Mo2S5,74);(MoOS,5);(Mo2S5,68)","(Mo2S7,6);(MoS4,333)"
"(MoS4,397);(MoOS5,11);(MoS4,282)","(Mo2S9,6);(MoS4,291)"
"(MoOS3,14);(MoS2,108);(MoS4,146)","(MoOS5,2);(MoS4,334)"
"(MoOS,1);(MoS3,11);(MoOS3,142)","(MoOS5,5);(MoS4,288)"
"(MoS2,104);(MoS4,134);(Mo2S7,86)","(Mo2S6,26);(MoS4,410)"
"(MoS2,2);(MoOS3,47);(MoS2,1)","(MoOS5,2);(MoS4,383)"
"(MoS3,13);(MoS,69);(MoS2,36)","(Mo2S6,18);(MoS4,345)"
"(MoS4,2);(MoOS5,22);(MoS4,2)","(MoOS5,3);(MoS4,365)"
"(MoS4,189);(MoOS5,18);(MoS4,5)","(MoOS5,9);(MoS4,340)"
"(MoOS3,306);(MoS2,2);(MoOS3,561)","(MoOS5,8);(MoS4,405)"
"(MoS2,2);(MoOS3,8);(MoS2,5)","(MoOS3,9);(MoS4,350)"
"(MoS,2);(MoOS2,76);(MoOS4,3)","(MoS3,106);(MoS4,389)"
"(MoS3,3);(MoS,4);(MoS3,74)","(MoS5,2);(MoS4,404)"
"(Mo2S8,40);(MoS4,3);(MoS3,2)","(Mo2S7,3);(MoS4,344)"
"(MoOS3,10);(MoS2,2);(MoOS3,257)","(MoOS5,4);(MoS4,397)"
"(MoS4,3);(MoOS5,6);(MoS4,2)","(MoOS5,15);(MoS4,340)"
"(MoOS4,136);(MoS2,5);(MoOS3,6)","(MoS2,1);(MoS4,359)"
"(MoS,149);(MoS3,53);(MoS4,1)","(MoS2,219);(MoS4,396)"
"(MoS2,3);(MoOS3,28);(MoS2,2)","(MoOS3,46);(MoS4,374)"
"(MoOS3,1);(MoS2,34);(MoS4,359)","(MoOS5,22);(MoS4,360)"
"(MoS2,1);(MoOS4,7);(MoOS2,213)","(Mo2S6,92);(MoS4,396)"
"(MoS3,91);(MoS2,88);(MoS4,15)","(MoS2,27);(MoS4,405)"
"(MoS,2);(MoOS2,76);(MoOS4,3)","(MoS3,106);(MoS4,389)"
"(MoS,7);(MoS2,95);(MoS4,3)","(MoS2,87);(MoS4,359)"
"(MoS,6);(MoOS,133);(MoOS3,8)","(MoS2,102);(MoS4,471)"
"(MoS2,28);(MoS4,24);(Mo2S8,18)","(Mo2S6,8);(MoS4,497)"
"(MoS3,216);(MoS5,4);(MoS3,21)","(Mo2S8,18);(MoS4,474)"
"(MoS2,90);(Mo2S7,64);(Mo2S5,82)","(Mo2S8,30);(MoS4,446)"
"(MoS2,8);(MoS3,5);(MoS,5)","(Mo2S6,3);(MoS4,479)"
"(MoOS3,3);(MoS2,43);(MoS4,21)","(MoS2,6);(MoS4,457)"
"(MoS4,8);(MoOS4,28);(Mo2S6,4)","(MoS2,90);(MoS4,493)"
"(Mo2S7,209);(MoOS4,44);(Mo2S7,7)","(Mo2S9,1);(MoS4,462)"
"(MoS3,63);(MoOS4,12);(MoS3,170)","(Mo2S8,19);(MoS4,458)"
"(MoS3,99);(MoS5,3);(MoS3,53)","(MoS5,1);(MoS4,472)"
"(MoOS3,2);(MoS2,47);(MoS3,7)","(MoS2,101);(MoS4,416)"
"(MoOS2,29);(MoS3,1);(MoOS4,3)","(MoS3,7);(MoS4,420)"
"(MoOS3,29);(MoOS5,1);(MoS4,2)","(MoOS5,10);(MoS4,445)"
"(MoS,2);(MoS2,117);(MoOS3,2)","(MoS2,163);(MoS4,454)"
"(Mo2S7,12);(MoS2,466);(MoS4,2)","(MoS2,2);(MoS4,482)"
"(MoOS3,2);(MoS2,160);(MoS4,67)","(MoS2,33);(MoS4,482)"
"(MoO2S2,2);(MoOS,12);(MoOS3,20)","(MoS2,78);(MoS4,452)"
"(MoS4,3);(MoS3,100);(Mo2S7,74)","(Mo2S9,12);(MoS4,415)"
"(MoOS3,4);(MoS2,10);(MoS4,5)","(MoS2,75);(MoS4,450)"
"(MoOS3,7);(MoS2,27);(MoOS3,4)","(MoS2,126);(MoS4,412)"
"(MoOS2,2);(MoS,2);(MoOS2,2)","(MoS,143);(MoS3,12)"
"(MoOS6,1);(MoOS4,204);(MoOS2,286)","(MoOS4,1);(MoS3,12)"
"(MoS4,7);(MoS2,106);(MoO,4)","(MoOS,28);(MoS3,10)"
"(MoS,1);(MoS2,1);(MoOS2,7)","(MoS,93);(MoS3,10)"
"(Mo3O9S2,15);(MoO,179);(MoOS2,2)","(MoS,95);(MoS3,10)"
"(MoO2S,1);(MoO,130);(MoOS2,14)","(MoS,74);(MoS3,12)"
"(MoOS3,40);(MoS2,436);(MoOS2,8)","(MoS4,7);(MoS3,10)"
"(MoOS2,6);(MoOS,4);(MoS,117)","(MoS2,19);(MoS3,12)"
"(MoO2,8);(MoO,20);(MoOS2,23)","(MoOS4,2);(MoS3,11)"
"(MoS3,2);(MoOS4,32);(MoOS2,3)","(MoOS4,26);(MoS3,11)"
"(Mo2S7,70);(MoO2S4,3);(Mo2S7,4)","(MoOS3,11);(MoS3,11)"
"(MoO,20);(MoS,28);(MoS3,59)","(MoOS4,43);(MoS3,11)"
"(MoOS2,6);(MoS,9);(MoS3,4)","(MoS,16);(MoS3,10)"
"(MoS4,24);(MoS5,17);(MoS4,1)","(Mo2S8,1);(MoS3,10)"
"(MoO2,126);(MoO,28);(MoOS2,10)","(MoS,50);(MoS3,12)"
"(MoO,1);(MoOS,17);(MoS2,104)","(Mo2S6,24);(MoS3,11)"
"(MoS3,157);(MoOS4,1);(MoOS2,188)","(MoOS4,1);(MoS3,10)"
"(MoOS,2);(MoO,2);(MoS3,4)","(MoS,10);(MoS3,10)"
"(MoOS2,5);(MoS,2);(MoOS2,11)","(MoOS4,1);(MoS3,11)"
"(MoOS2,9);(MoS,28);(MoS3,6)","(MoS2,68);(MoS3,12)"
"(MoOS2,1);(MoS2,17);(MoOS2,1)","(MoS,68);(MoS3,14)"
"(MoS5,12);(MoS3,574);(MoOS3,5)","(MoOS4,10);(MoS3,13)"
"(MoS2,2);(MoS,1);(Mo2S5,21)","(MoOS,28);(MoS3,14)"
"(MoO2,19);(MoO,126);(MoOS2,179)","(MoOS4,1);(MoS3,14)"
"(MoOS2,54);(MoOS,321);(MoOS3,13)","(MoOS,107);(MoS3,13)"
"(MoOS2,2);(MoS,142);(MoS3,58)","(MoS,2);(MoS3,14)"
"(MoS,4);(MoOS2,22);(MoS3,1)","(MoOS4,2);(MoS3,13)"
"(MoO2,11);(MoO,60);(MoOS2,3)","(MoS,236);(MoS3,13)"
"(MoOS2,1);(MoS,17);(MoS3,200)","(MoS5,7);(MoS3,14)"
"(MoS5,12);(MoS3,574);(MoOS3,5)","(MoOS4,10);(MoS3,13)"
"(Mo2S7,5);(MoOS4,222);(MoS3,2)","(MoOS4,128);(MoS3,13)"
"(MoOS2,6);(MoOS,7);(MoOS2,16)","(MoS,134);(MoS3,14)"
"(MoOS3,9);(MoOS4,12);(MoOS3,7)","(MoS4,8);(MoS3,13)"
"(MoOS3,7);(MoS2,6);(MoS4,3)","(MoS2,407);(MoS3,13)"
"(MoOS2,6);(MoS,107);(MoO2S,4)","(MoS,45);(MoS3,14)"
"(Mo2S7,38);(Mo2S8,1);(MoS4,13)","(MoS5,10);(MoS3,13)"
"(MoOS3,4);(MoS2,16);(MoS3,31)","(MoS,118);(MoS3,14)"
"(MoOS,19);(MoOS3,9);(MoS2,78)","(MoS,59);(MoS3,13)"
"(MoOS2,7);(MoS,3);(MoOS2,11)","(MoS,244);(MoS3,14)"
"(MoOS4,14);(MoS3,2);(MoOS2,1)","(MoOS4,17);(MoS3,13)"
"(MoS,51);(MoS4,1);(Mo2S7,1)","(MoS,2);(MoS3,15)"
"(Mo2S5,423);(MoS2,9);(Mo2S5,331)","(Mo2S7,25);(MoS3,17)"
"(MoO2,136);(MoO,237);(MoOS2,36)","(MoS,75);(MoS3,17)"
"(MoS3,55);(MoS2,102);(MoS4,288)","(MoS5,5);(MoS3,16)"
"(MoOS3,47);(MoOS4,5);(MoS3,22)","(MoS5,2);(MoS3,16)"
"(MoS3,3);(MoS4,5);(Mo2S6,13)","(MoS,29);(MoS3,17)"
"(MoOS4,8);(MoS3,2);(MoOS4,11)","(MoOS3,344);(MoS3,15)"
"(MoOS2,1);(MoS,7);(MoOS2,11)","(MoS,75);(MoS3,15)"
"(Mo2S6,53);(MoS4,12);(MoS2,13)","(MoOS4,2);(MoS3,17)"
"(MoOS2,76);(MoS,2);(MoOS2,43)","(MoOS4,6);(MoS3,17)"
"(MoS3,26);(MoS4,3);(MoS2,78)","(MoS4,217);(MoS3,15)"
"(MoS3,18);(MoOS4,18);(MoS3,190)","(MoS5,6);(MoS3,17)"
"(MoS3,83);(MoS5,9);(MoS3,4)","(MoS5,8);(MoS3,15)"
"(MoS5,4);(MoS3,50);(MoS4,4)","(MoS2,37);(MoS3,17)"
"(MoS2,7);(MoS5,1);(MoS3,14)","(MoS,68);(MoS3,17)"
"(MoOS,122);(MoOS4,4);(MoS3,129)","(MoOS4,5);(MoS3,16)"
"(MoO2S2,3);(MoOS,33);(MoOS3,4)","(MoS2,73);(MoS3,16)"
"(MoO2S,23);(MoO,157);(MoOS2,6)","(MoS,299);(MoS3,16)"
"(MoS3,2);(MoS,41);(MoS3,158)","(MoOS4,2);(MoS3,15)"
"(MoS3,259);(MoS5,6);(MoOS6,15)","(MoOS,2);(MoS3,16)"
"(MoS4,201);(MoOS4,2);(MoOS2,24)","(MoS,98);(MoS3,21)"
"(Mo2S5,1);(MoS2,15);(MoS3,58)","(MoS5,4);(MoS3,18)"
"(MoOS5,6);(MoOS4,143);(MoS3,107)","(MoOS4,3);(MoS3,18)"
"(MoOS3,25);(MoOS2,109);(MoS2,16)","(MoOS3,3);(MoS3,18)"
"(MoO2S,5);(MoO,218);(MoOS2,6)","(MoS,14);(MoS3,21)"
"(MoS3,1);(MoOS4,8);(MoS3,2)","(MoOS4,24);(MoS3,18)"
"(MoO2,1);(MoO,46);(MoOS2,4)","(MoS,26);(MoS3,19)"
"(Mo2S5,17);(MoS3,1);(MoS2,1)","(Mo2S5,327);(MoS3,18)"
"(MoOS2,15);(MoOS4,1);(MoS3,8)","(MoS5,2);(MoS3,19)"
"(MoO3,19);(MoO,74);(MoOS2,4)","(MoOS4,2);(MoS3,20)"
"(MoOS2,16);(MoS,20);(MoS3,34)","(MoS5,2);(MoS3,19)"
"(MoOS2,62);(MoOS4,3);(MoS3,2)","(MoOS4,7);(MoS3,20)"
"(MoOS2,1);(MoS,12);(MoS3,2)","(MoS,185);(MoS3,21)"
"(MoOS2,11);(MoS,143);(MoS3,15)","(MoS,36);(MoS3,20)"
"(MoOS2,3);(MoS,3);(MoOS2,7)","(MoS,51);(MoS3,19)"
"(MoS3,2);(MoOS4,3);(MoS3,2)","(MoOS4,11);(MoS3,18)"
"(MoS3,4);(MoS,115);(MoS3,287)","(MoOS4,12);(MoS3,18)"
"(MoS,2);(MoS2,11);(MoS,70)","(MoS2,7);(MoS3,20)"
"(MoS3,123);(MoOS4,3);(MoS3,258)","(MoS5,31);(MoS3,20)"
"(MoOS3,1);(MoOS,1);(Mo,1)","(MoS2,125);(MoS3,20)"
"(MoOS2,85);(MoOS4,2);(MoOS2,58)","(MoOS4,8);(MoS3,25)"
"(MoOS,74);(MoO,25);(MoOS2,3)","(MoS,44);(MoS3,25)"
"(MoS,1);(Mo,35);(MoS2,8)","(MoS,44);(MoS3,26)"
"(MoO2S4,1);(MoOS3,4);(MoS2,44)","(MoS4,27);(MoS3,24)"
"(MoS,10);(MoS4,26);(MoS2,5)","(Mo2S6,20);(MoS3,23)"
"(MoOS2,2);(MoS,6);(MoS3,1)","(MoS2,2);(MoS3,24)"
"(MoS2,17);(MoS4,37);(MoS2,120)","(Mo2S8,11);(MoS3,24)"
"(MoOS,1);(MoO,68);(MoOS2,3)","(MoS,96);(MoS3,24)"
